1,2,3,4,5,6,7,8,9,10,11,12
0.2,6.0289,6.0289,-0.69372,0.2,5.1183,5.1183,1.0398,0.2,4.5557,4.5557,2.017
0.3,5.7965,5.7965,-0.21488,0.3,5.1183,5.1183,1.0398,0.3,4.5557,4.5557,2.017
0.4,5.6307,5.6307,0.10764,0.4,5.1183,5.1183,1.0398,0.4,4.5557,4.5557,2.017
0.5,5.5028,5.5028,0.3479,0.5,5.1183,5.1183,1.0398,0.5,4.5557,4.5557,2.017
0.6,5.3994,5.3994,0.53782,0.6,5.0293,5.0293,1.1956,0.6,4.5557,4.5557,2.017
0.7,5.3131,5.3131,0.69394,0.7,4.9554,4.9554,1.3242,0.7,4.5557,4.5557,2.017
0.8,5.2393,5.2393,0.82592,0.8,4.8925,4.8925,1.4334,0.8,4.5557,4.5557,2.017
0.9,5.175,5.175,0.93986,0.9,4.8379,4.8379,1.5279,0.9,4.5557,4.5557,2.017
1,5.1183,5.1183,1.0398,1,4.7899,4.7899,1.611,1,4.5557,4.5557,2.017
1.1,5.0676,5.0676,1.1287,1.1,4.7471,4.7471,1.6851,1.1,4.5173,4.5173,2.0839
1.2,5.0219,5.0219,1.2085,1.2,4.7085,4.7085,1.7518,1.2,4.4828,4.4828,2.1442
1.3,4.9803,4.9803,1.2809,1.3,4.6736,4.6736,1.8123,1.3,4.4516,4.4516,2.1988
1.4,4.9423,4.9423,1.347,1.4,4.6416,4.6416,1.8677,1.4,4.4232,4.4232,2.2488
1.5,4.9072,4.9072,1.4078,1.5,4.6122,4.6122,1.9187,1.5,4.397,4.397,2.2948
1.6,4.8748,4.8748,1.464,1.6,4.585,4.585,1.966,1.6,4.3729,4.3729,2.3374
1.7,4.8447,4.8447,1.5162,1.7,4.5598,4.5598,2.0099,1.7,4.3506,4.3506,2.377
1.8,4.8165,4.8165,1.565,1.8,4.5362,4.5362,2.0509,1.8,4.3297,4.3297,2.414
1.9,4.7901,4.7901,1.6106,1.9,4.5141,4.5141,2.0894,1.9,4.3102,4.3102,2.4487
2,4.7653,4.7653,1.6535,2,4.4934,4.4934,2.1256,2,4.2919,4.2919,2.4813
2.1,4.7419,4.7419,1.694,2.1,4.4739,4.4739,2.1598,2.1,4.2747,4.2747,2.5121
2.2,4.7198,4.7198,1.7323,2.2,4.4554,4.4554,2.1922,2.2,4.2585,4.2585,2.5412
2.3,4.6988,4.6988,1.7685,2.3,4.4379,4.4379,2.2229,2.3,4.2431,4.2431,2.5689
2.4,4.6789,4.6789,1.803,2.4,4.4213,4.4213,2.2521,2.4,4.2285,4.2285,2.5951
2.5,4.66,4.66,1.8359,2.5,4.4055,4.4055,2.2799,2.5,4.2146,4.2146,2.6202
2.6,4.6419,4.6419,1.8672,2.6,4.3904,4.3904,2.3065,2.6,4.2014,4.2014,2.6441
